"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CFLAR-AS1",8.97468785901832,3.23252068080828,0.984929543056407,3.28198164386176,0.00103080315189381,0.0102568209344122
"ZNF192P1",30.7845605952,1.83069795336575,0.495860938320192,3.69195839375356,0.000222533875551126,0.00306651074150117
"ANKRD18DP",7.64140779788587,4.25056353250803,1.18803563920699,3.57780809954932,0.000346487682326238,0.00436160505648877
"TMEM185B",3084.39646846263,2.16182324514096,0.373779189297034,5.78369076461079,7.3079228053333e-09,5.06273871332491e-07
"FTH1P20",77.8862782273522,1.6458761560447,0.451402181156213,3.64614134523893,0.000266207587412534,0.00355687799588386
"AL121899.1",22.6414405923517,1.96135292389157,0.729431360430684,2.6888793521758,0.00716923251155603,0.0459525996439375
"FAM66C",200.154365206454,1.88937691663255,0.493653332911313,3.82733548154123,0.000129537908273295,0.00201726123669014
"AC007365.1",22.4228782275791,2.0630708070377,0.559566798315747,3.68690710965587,0.000226996168766006,0.00310594322853643
"AC092164.1",11.8762089582105,1.8695311104269,0.673299493727258,2.77667089882622,0.00549187549743483,0.0374309802687363
"IL9RP3",53.1304291707756,-2.86169311757792,0.548095428993913,-5.2211585176524,1.77807256589207e-07,8.02871203915863e-06
"RPS2P36",231.525270106383,1.87842628992987,0.343685506657491,5.46553827130647,4.61504202252081e-08,2.52318067766415e-06
"WDR46",625.579251240377,1.13268125120745,0.286881064466406,3.94826076553437,7.87210303972996e-05,0.00134625643529445
"TRGC2",296.087737603796,2.1624086823393,0.463251465414448,4.66789388438242,3.04302987206999e-06,9.10536292703754e-05
"KIF9-AS1",40.8286242996446,-1.3350040913822,0.325312894142858,-4.10375400243417,4.06499695498052e-05,0.000792204464376694
"LINC00310",32.1408974168921,1.6770701797451,0.55398750885518,3.02727074697185,0.00246772819866191,0.0202117694780382
"HSD11B1-AS1",44.8968783344195,4.17655199969152,0.706195168945746,5.91416110354669,3.33571274751903e-09,2.54634464790802e-07
"AL731569.1",35.5274986453721,-1.15230087069066,0.434111595322469,-2.65438860216276,0.00794522685563485,0.049468757790901
"AL139246.3",92.4783461302535,2.13040787790888,0.591560414375194,3.60133610386864,0.000316585977894367,0.00406281620797837
"AL022341.1",5.12743196774259,3.70538764636847,1.11219318996461,3.33160432899826,0.000863469276017254,0.00896719134735983
"AC093495.1",762.385213039997,-1.51576895387771,0.529127850611576,-2.86465539873918,0.00417463265263952,0.0302075135575092
"MT-ATP8",100.452134379991,1.68253489961176,0.479832738303011,3.50650292341921,0.000454036448917704,0.00542190278934842
"UMLILO",9.49034731509125,2.68047860318793,0.741736015362956,3.61379055037024,0.000301752855152804,0.00390791197623948
"ORM2",152.347543570496,3.2768841951874,0.985151485294915,3.32627442997402,0.000880152263003442,0.00908861670663431
"LINC01890",23.7512410092309,2.76992884330084,0.903999918060035,3.06408085660567,0.00218339889631385,0.018488060390763
"AL663070.1",190.597901935022,6.01766533929375,0.627956868792918,9.58292780658825,9.43321638758466e-22,9.54122671522251e-19
"MIR34AHG",78.7854576021515,2.62342038541705,0.592462599455007,4.42799324013072,9.51138818278267e-06,0.000234641306767696
"AL139011.1",16.3637841885955,1.64974541434997,0.461546215917181,3.57438834390963,0.000351047576989192,0.00440256753559477
"HDAC2-AS2",35.1225005327976,1.47063020202981,0.447106740180465,3.28921501258563,0.00100467242342857,0.0100412640580714
"SNHG26",28.5805537419887,1.48115995191186,0.458522542915676,3.23028818276499,0.0012366549968684,0.0119068509907905
"TRGV5P",8.80709301341397,4.80396430384862,1.55071157048841,3.0979096276012,0.00194890850107926,0.0169713603393596
"LINC00659",14.3331643455106,2.12620758943389,0.773041703908349,2.75044357721478,0.00595146399457397,0.0399035251598509
"AL022313.2",20.7293859370297,-1.68327200808876,0.632829070408328,-2.65991574470914,0.00781602011428352,0.0489960554359595
"BACH1-IT2",81.4281621055007,1.80905108399125,0.485267631892922,3.72794508657941,0.000193047426990089,0.00272897023101503
"AL121985.1",43.9999199746443,4.69361821446332,0.741305589344996,6.33155648888404,2.42700281162872e-10,2.49217461301713e-08
"RASA4CP",149.695726523754,-1.08123479393739,0.307352688435435,-3.51789600228118,0.000434982797610556,0.00523143104213076
"AP000355.1",64.379308468582,3.96600805232046,0.974572979554354,4.06948287662768,4.71176022987039e-05,0.00088903108294155
"AC023137.1",15.0295388893323,-2.75513068776283,0.867148744476455,-3.17722963368442,0.00148689254040072,0.013797407889801
"EIF4A1P10",8.81407308656043,1.65756357823817,0.489070949121922,3.38920882790964,0.00070094607078536,0.00763978344068807
"AL358473.1",61.5497023581754,-1.30233413838125,0.426521991417238,-3.05338098524272,0.00226278458284115,0.0190327938986668
"ORM1",1558.27522041491,3.23541671334142,0.905042042126023,3.57488001965206,0.000350388540622725,0.00439781347523827
"U91324.1",5.07139530104926,6.00253604517868,1.45443101447942,4.12706823865907,3.67417393048414e-05,0.000725828754294567
"CXCR2P1",13.3133026193326,-3.00846660489962,0.753664488132341,-3.99178500814721,6.55778124408395e-05,0.00116042380463342
"AC104695.2",14.388510947577,-1.44613102250343,0.463486704555874,-3.12011328111161,0.00180781501881372,0.0160607334280118
"MIR181A1HG",280.082043818487,3.6464673195661,0.582523181613138,6.25978061416922,3.85519432954297e-10,3.74936183136176e-08
"ANKRD66",6.37457949800706,5.98393853235996,1.67014528813998,3.58288501895796,0.000339820211915877,0.00429370585062228
"EMC1-AS1",23.6949982048413,1.00160740009597,0.358562948082121,2.79339347652444,0.00521582045644352,0.0360351202231544
"SERPINB9P1",1322.93651729389,4.45016742967833,0.607134374766016,7.32978993553672,2.30513763016483e-13,4.44101229720041e-11
"LRRC37A6P",16.4742246688505,-2.70709737662994,0.749040376587319,-3.61408738600136,0.000301407399218673,0.00390791197623948
"COL6A4P1",5.80846839569647,2.40073067899094,0.905117752880209,2.65239596875819,0.00799227524806639,0.0496211927071221
"AC022816.1",3.60170197127901,5.98043011318016,1.70986350094697,3.49760674455477,0.000469452802771359,0.00556656550249813
"FBXW4P1",54.6357750518903,-1.41201323667387,0.423985918417071,-3.33033050235617,0.000867429569446861,0.00899396861114329
"AC007036.2",8.7302261997213,-2.90820077616324,1.04386675826506,-2.7859884924363,0.00533647661392741,0.0366595113862307
"LINC00309",68.0191028801564,1.05108896077159,0.366076357406008,2.87122874642748,0.00408879529524578,0.0296672309998303
"LINC02541",185.555805497383,4.30178659633432,0.673505431840537,6.38715946889769,1.68995383736497e-10,1.79926716716084e-08
"KLF3-AS1",59.2530482251117,-1.97640583683305,0.460010113585261,-4.2964399661329,1.73562943964278e-05,0.000391416364933487
"AL954705.1",11.611416279214,3.44290864254199,0.893130590506278,3.85487707972286,0.000115787790707509,0.00183996167967179
"CFAP58-DT",604.62982989877,3.34621309167675,0.510226030261633,6.55829552631974,5.44262686079927e-11,6.47640580982991e-09
"ITPR1-DT",25.3826263483514,1.66608274725425,0.569497941893663,2.92552900492368,0.00343871118677992,0.0258736069911288
"AL357078.1",58.6197585302288,-1.40726221498357,0.395106804394084,-3.56172609363606,0.000368424642858392,0.00458355602729545
"LINC00899",99.3277690237884,-1.79079631065451,0.359763771746196,-4.97770051153976,6.43441120992486e-07,2.44205824325647e-05
"DOC2GP",21.805258883461,1.72761897276557,0.630421225056925,2.74042006217283,0.00613607061626015,0.0407239411077187
"FAM192BP",53.3787390540353,1.59581044226895,0.430294579171001,3.70864640066677,0.000208370172141196,0.00291099462171565
"RAP2C-AS1",82.4666925531398,1.63861660822903,0.463517598599197,3.53517668623827,0.000407502583222469,0.00497487613518848
"FTH1P7",48.9870670457032,1.43734882357869,0.449266264272903,3.19932507263796,0.00137749752606415,0.0129908612842665
"MHENCR",107.849514473038,-1.46641629554402,0.345350603181588,-4.24616688673618,2.17458685202134e-05,0.000471486789169771
"AL592437.2",6.22502012116634,2.83031150477485,0.917718465818319,3.08407383112979,0.00204186916178688,0.0175691073048859
"AL365436.2",214.612971494839,-2.1219255828733,0.432766446235152,-4.90316567130601,9.4304383142857e-07,3.35859747640291e-05
"AL355304.1",14.5025227548971,2.11239822298591,0.6079345452956,3.47471325545217,0.000511399691014604,0.00595093230134416
"AL158050.1",9.94342685950465,2.54141772119049,0.701992976947923,3.62028938272273,0.00029427370886727,0.00384303605982957
"AC002480.1",30.6024940414681,8.94918352093773,1.31994942623769,6.77994424865656,1.20222266467679e-11,1.59998436077281e-09
"ITGA6-AS1",19.3042471646475,-2.50055256839827,0.883141030632492,-2.83143063413939,0.00463402837616972,0.0328112565703665
"AL137186.2",16.9461472049219,-4.09698986645902,0.75327816378916,-5.43888043408856,5.3616420359928e-08,2.86175875319521e-06
"TNF",5570.71042060297,2.70039365776272,0.313936532979065,8.6017184178523,7.85312760602602e-18,3.69443996144885e-15
"DUX4L50",20.5321310925237,-1.66090023238173,0.551208322659213,-3.01319875645018,0.00258509549388426,0.0209426899262253
"SMG7-AS1",142.129325946393,1.53330899084067,0.301345602487774,5.08820762002949,3.61463523480085e-07,1.47420274525779e-05
"RERE-AS1",25.9127465646638,-2.19898959639524,0.827526339788493,-2.65730465686117,0.00787682246703442,0.049229278184626
"AC097721.1",11.5658612037163,3.29406424153198,0.844925716032955,3.8986436073908,9.67330254098117e-05,0.00159609491926189
"LINC00884",158.793584415986,3.84421737631351,0.706267580018386,5.44300416028361,5.23894228913529e-08,2.81110248188111e-06
"LINC00472",4.85538253180313,4.9787345457532,1.26694152783143,3.92972717081512,8.50422991589151e-05,0.00143240688566669
"FAM238A",13.5521669180345,-1.7406437292292,0.602301168522676,-2.8899889626624,0.00385255352638776,0.0282776869685406
"GPX1",4179.43863229299,-2.56611532227953,0.484828903493494,-5.29282661117989,1.20440101997991e-07,5.71920850543982e-06
"AC104809.2",7.81583449458772,-3.81194286400243,1.31473106306513,-2.89940883812038,0.00373867045702638,0.0276626059528847
"HOTAIRM1",1035.15312446269,-2.09957587544498,0.514969465526748,-4.07708809161603,4.56032188698807e-05,0.000866204238984804
"LINC00513",20.8762490003358,2.35100568526137,0.578720876386915,4.06241727435034,4.8567161464503e-05,0.000908008418914446
"LINC01137",151.272591610171,1.06754043597356,0.266641882121014,4.00364874220719,6.23729541751547e-05,0.00111264769842082
"CYP2T1P",59.3969948092535,-1.19862240819718,0.435506041121776,-2.75225208153203,0.00591869418858907,0.0397243744993259
"PDYN-AS1",259.772319589952,2.14805783251861,0.557469908777179,3.85322651267477,0.000116571456032969,0.00184805954866061
"LINC01503",47.075846026403,-2.52360823117797,0.6495581612647,-3.885115116196,0.000102281412330822,0.00166707565580214
"AL390879.1",30.3879678653973,1.46002237584354,0.419791829363085,3.47796758707454,0.000505231014130859,0.00589067330539086
"LINC01283",3.63890290889147,4.55009043091298,1.41641365321886,3.2124022672139,0.0013162992550011,0.0125128842243502
"LINC01191",29.9445887311297,1.47446228044951,0.517937573386352,2.84679535954354,0.00441617409705528,0.0316229330298518
"AC007283.1",403.256890848142,1.54489347127266,0.44810907531806,3.44758353795026,0.000565625458405691,0.00641729523168184
"MAGI2-AS3",16.1867235919487,1.47766864848634,0.553359438594654,2.67035952660194,0.00757700683297585,0.0479885006963896
"LNCTAM34A",3.53205172863268,5.33352903391102,1.41385021024839,3.77234377110854,0.000161721227611463,0.00238444512635007
"MIR155HG",238.717484103697,3.15897716944511,0.51932029104303,6.08290726152922,1.18022620434554e-09,1.01594876117897e-07
